,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,index,Date,coronaenquirycalls,cumulativepeopleinquarantine,negative,numcallsstatehelpline,numicubeds,numisolationbeds,numventilators,populationncp2019projection,positive,source1,state,tagpeopleinquarantine,tagtotaltested,testpositivityrate,testspermillion,testsperpositivecase,testsperthousand,totaln95masks,totalpeoplecurrentlyinquarantine,totalpeoplereleasedfromquarantine,totalppe,totaltested,unconfirmed,Active Cases
31,,,,,,,31,2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,,,,,,,32,2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,,,,,,,33,2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,,,,,,,34,2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,,,,,,,35,2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,,,,,,,36,2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37,,,,,,,37,2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,,,,,,,38,2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39,,,,,,,39,2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40,,,,,,,40,2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
41,,,,,,,41,2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
42,,,,,,,42,2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
43,,,,,,,43,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,,,,,,,44,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
45,,,,,,,45,2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
46,,,,,,,46,2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
47,,,,,,,47,2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
48,,,,,,,48,2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
49,,,,,,,49,2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
50,,,,,,,50,2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
51,,,,,,,51,2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,,,,,,,52,2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
53,,,,,,,53,2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
54,,,,,,,54,2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
55,,,,,,,55,2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
56,,,,,,,56,2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
57,,,,,,,57,2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
58,,,,,,,58,2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
59,,,,,,,59,2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
60,,,,,,,60,2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61,,,,,,,61,2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
62,,,,,,,62,2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
63,,,,,,,63,2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
64,,,,,,,64,2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
65,,,,,,,65,2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
66,,,,,,,66,2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
67,,,,,,,67,2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
68,,,,,,,68,2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
69,,,,,,,69,2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Dadra and Nagar Haveli and Daman and Diu,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
70,,,,,,,70,2020-04-09,0.0,0.0,80.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1247952828519178241,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,83.0,0.0,0.08,0.0,0.0,0.0,0.0,80.0,0.0,
71,,,,,,,71,2020-04-10,0.0,0.0,130.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1248309707397156864,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,136.0,0.0,0.14,0.0,0.0,0.0,0.0,130.0,0.0,
72,,,,,,,72,2020-04-11,0.0,0.0,211.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1249023214333743104,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,220.0,0.0,0.22,0.0,0.0,0.0,0.0,211.0,0.0,
73,,,,,,,73,2020-04-12,0.0,0.0,211.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1249023214333743104,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,220.0,0.0,0.22,0.0,0.0,0.0,0.0,211.0,0.0,
74,,,,,,,74,2020-04-13,0.0,0.0,211.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1249023214333743104,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,220.0,0.0,0.22,0.0,0.0,0.0,0.0,211.0,0.0,
75,,,,,,,75,2020-04-14,0.0,0.0,211.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1249023214333743104,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,220.0,0.0,0.22,0.0,0.0,0.0,0.0,211.0,0.0,
76,,,,,,,76,2020-04-15,0.0,0.0,356.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1250301551106646016,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,371.0,0.0,0.37,0.0,0.0,0.0,0.0,356.0,0.0,
77,,,,,,,77,2020-04-16,0.0,0.0,382.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1250813940537278464,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,398.0,0.0,0.4,0.0,0.0,0.0,0.0,382.0,0.0,
78,,,,,,,78,2020-04-17,0.0,0.0,382.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1250813940537278464,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,398.0,0.0,0.4,0.0,0.0,0.0,0.0,382.0,0.0,
79,,,,,,,79,2020-04-18,0.0,0.0,382.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1250813940537278464,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,398.0,0.0,0.4,0.0,0.0,0.0,0.0,382.0,0.0,
80,,,,,,,80,2020-04-19,0.0,0.0,382.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1250813940537278464,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,398.0,0.0,0.4,0.0,0.0,0.0,0.0,382.0,0.0,
81,,,,,,,81,2020-04-20,0.0,0.0,382.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1250813940537278464,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,398.0,0.0,0.4,0.0,0.0,0.0,0.0,382.0,0.0,
82,,,,,,,82,2020-04-21,0.0,0.0,474.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1252302829840150531,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,494.0,0.0,0.49,0.0,0.0,0.0,0.0,474.0,0.0,
83,,,,,,,83,2020-04-22,0.0,0.0,674.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1252673213533949953,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,703.0,0.0,0.7,0.0,0.0,0.0,0.0,674.0,0.0,
84,,,,,,,84,2020-04-23,0.0,0.0,913.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1253396695653720064,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,952.0,0.0,0.95,0.0,0.0,0.0,0.0,913.0,0.0,
85,,,,,,,85,2020-04-24,0.0,0.0,913.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1253396695653720064,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,952.0,0.0,0.95,0.0,0.0,0.0,0.0,913.0,0.0,
86,,,,,,,86,2020-04-25,0.0,0.0,1386.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1254089361777401857,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,1445.0,0.0,1.45,0.0,0.0,0.0,0.0,1386.0,0.0,
87,,,,,,,87,2020-04-26,0.0,0.0,1901.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1254470145554120706,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,1982.0,0.0,1.98,0.0,0.0,0.0,0.0,1901.0,0.0,
88,,,,,,,88,2020-04-27,0.0,0.0,2379.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1254827828866158595,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,2481.0,0.0,2.48,0.0,0.0,0.0,0.0,2379.0,0.0,
89,,,,,,,89,2020-04-28,0.0,0.0,2379.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1254827828866158595,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,2481.0,0.0,2.48,0.0,0.0,0.0,0.0,2379.0,0.0,
90,,,,,,,90,2020-04-29,0.0,0.0,2921.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1255525945999527938,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,3046.0,0.0,3.05,0.0,0.0,0.0,0.0,2921.0,0.0,
91,,,,,,,91,2020-04-30,0.0,0.0,3464.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1255927430184873984,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,3612.0,0.0,3.61,0.0,0.0,0.0,0.0,3464.0,0.0,
92,,,,,,,92,2020-05-01,0.0,0.0,4003.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1256255551568334854,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,4174.0,0.0,4.17,0.0,0.0,0.0,0.0,4003.0,0.0,
93,,,,,,,93,2020-05-02,0.0,0.0,4003.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1256255551568334854,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,4174.0,0.0,4.17,0.0,0.0,0.0,0.0,4003.0,0.0,
94,,,,,,,94,2020-05-03,0.0,0.0,4328.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1256974650426437637,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,4513.0,0.0,4.51,0.0,0.0,0.0,0.0,4328.0,0.0,
95,,,,,,,95,2020-05-04,0.0,0.0,4434.0,0.0,0.0,0.0,0.0,959000.0,0.0,https://twitter.com/DnhPublicity/status/1257385472625725444,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.0,4624.0,0.0,4.62,0.0,0.0,0.0,0.0,4434.0,0.0,
96,,,,,,,96,2020-05-05,0.0,0.0,4780.0,0.0,0.0,0.0,0.0,959000.0,1.0,https://twitter.com/DnhPublicity/status/1257725665702547457,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.02,4985.0,4781.0,4.99,0.0,0.0,0.0,0.0,4781.0,0.0,
97,,,,,,,97,2020-05-06,0.0,0.0,4966.0,0.0,0.0,0.0,0.0,959000.0,1.0,https://twitter.com/DnhPublicity/status/1258108704974606337,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.02,5179.0,4967.0,5.18,0.0,0.0,0.0,0.0,4967.0,0.0,
98,,,,,,,98,2020-05-07,0.0,0.0,5271.0,0.0,0.0,0.0,0.0,959000.0,1.0,https://twitter.com/DnhPublicity/status/1258448806049439745,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.02,5497.0,5272.0,5.5,0.0,0.0,0.0,0.0,5272.0,0.0,
99,,,,,,,99,2020-05-08,0.0,0.0,5429.0,0.0,0.0,0.0,0.0,959000.0,1.0,https://twitter.com/DnhPublicity/status/1258819276066021381,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.02,5662.0,5430.0,5.66,0.0,0.0,0.0,0.0,5430.0,0.0,
100,,,,,,,100,2020-05-09,0.0,0.0,5429.0,0.0,0.0,0.0,0.0,959000.0,1.0,https://twitter.com/DnhPublicity/status/1258819276066021381,Dadra and Nagar Haveli and Daman and Diu,0.0,Tested,0.02,5662.0,5430.0,5.66,0.0,0.0,0.0,0.0,5430.0,0.0,
